city;neighbourhood;street;price;House No.;Flat No.;Area;Number of rooms;Floor;No. of floors;Build year;Building type;Heating system;Equipment;Building Energy Efficiency Class;Description;Additional premises;Additional Equipment;Security;Nearest kindergarten;Nearest educational institution;Nearest shop;Public transport stop;crime;Object;Unique item number (RC number)
Vilnius;Žvėrynas;Sėlių g.;1 350 000 € (7 627 €/m²);;;177 m²;4;4;4;2021;Brick;Central thermostat;Fully equipped;;Private yard;Terrace Closet;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Bath;Steel doors Alarm system Code door lock;10 m;220 m;50 m;30 m;3;;
Vilnius;Senamiestis;J. Basanavičiaus g.;1 200 000 € (10 169 €/m²);4A;;118 m²;3;2;4;2022;Brick;Central thermostat;Fully equipped;;High ceiling New sewage system New electrical installation;Balcony Terrace Closet;Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Bath;Steel doors Alarm system Code door lock Video surveillance Guard;230 m;230 m;170 m;40 m;30;;
Vilnius;Naujamiestis;Vytenio g.;1 860 000 € (10 941 €/m²);4;;170 m²;5;5;5;2022;Brick;Central thermostat;Fully equipped;;High ceiling New sewage system New electrical installation Private yard Kitchen merged with room;Storeroom Terrace Parking space Closet;Furniture Floor heating system Kitchen furniture Shower Bath Recuperation;Steel doors Code door lock;250 m;310 m;200 m;120 m;18;;
Vilnius;Žvėrynas;Liepyno g.;195 000 € (4 149 €/m²);;;47 m²;2;5;5;2016;Brick;Gas;Fully equipped;;High ceiling;Closet;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower;Steel doors Code door lock;330 m;210 m;300 m;130 m;11;;
Vilnius;Naujamiestis;Vytenio g.;399 000 € (4 156 €/m²);;;96 m²;3;5;5;2005;Brick;Central thermostat;Fully equipped;;Two-floor flat Internet;;Conditioner Furniture Refrigerator Kitchen furniture Stove Dish washer;Steel doors Alarm system Code door lock;190 m;150 m;310 m;200 m;17;;
Vilnius;Senamiestis;Aguonų g.;568 750 € (7 000 €/m²);;;81,25 m²;3;2;4;2024;Brick;Central thermostat;Partially equipped;;Has elevator High ceiling New sewage system New electrical installation;Balcony Terrace;;Code door lock;310 m;80 m;290 m;270 m;34;;
Vilnius;Žvėrynas;Latvių g.;495 000 € (5 440 €/m²);;;91 m²;3;1;2;2005;Brick;Central thermostat;Fully equipped;;Private yard;Terrace;Furniture Refrigerator Kitchen furniture Stove Fireplace Dish washer Bath;Alarm system Code door lock;300 m;540 m;710 m;660 m;0;;
Vilnius;Naujamiestis;T. Ševčenkos g.;140 000 € (3 266 €/m²);;;42,87 m²;2;2;4;1970 construction, 2023 renovation;Brick;Aerothermal;Partially equipped;;;;;Steel doors Code door lock;190 m;150 m;310 m;200 m;17;;
Vilnius;Užupis;Krivių g.;400 000 € (4 706 €/m²);;;85 m²;3;2;5;2007;Brick;Central thermostat;Fully equipped;;Separate bathroom and WC Private yard Internet;Balcony Parking space Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Fireplace Dish washer Shower Bath;Steel doors Code door lock;300 m;70 m;430 m;110 m;7;;
Vilnius;Naujamiestis;M. K. Čiurlionio g.;279 000 € (4 153 €/m²);7;;67,18 m²;2;2;5;1940;Brick;Central;Fully equipped;;Private yard Internet Cable television;Storeroom Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Bath Recuperation;Code door lock;100 m;370 m;370 m;60 m;14;;
Vilnius;Šnipiškės;Krokuvos g.;"Price decreased 1,2%
420 000 € (3 360 €/m²)";13;;125 m²;4;11;11;2002;Brick;Central thermostat;Fully equipped;;Has elevator Private entrance High ceiling Separate bathroom and WC Private yard Internet Cable television Kitchen merged with room;Storeroom Balcony Cellar Parking space Closet;Conditioner Washing machine Furniture Refrigerator Kitchen furniture Stove Fireplace Plastic pipes Dish washer Shower Bath;Steel doors Alarm system Code door lock Video surveillance;80 m;430 m;220 m;270 m;"118,75 €/month
~ 0,95 €/m²";;
Vilnius;Markučiai;Manufaktūrų g.;518 000 € (6 428 €/m²);9;;80,58 m²;3;5;6;2021;Brick;Central thermostat;Fully equipped;;New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Storeroom Balcony Terrace Parking space Closet;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Shower Bath Recuperation;Steel doors Code door lock;170 m;720 m;50 m;250 m;"37,87 €/month
~ 0,47 €/m²";;
Vilnius;Naujininkai;Dariaus ir Girėno g.;39 000 € (2 086 €/m²);42B;407;18,7 m²;1;4;5;1990;Brick;Electric;Fully equipped;;;;Shower;Video surveillance;1,3 km;1,1 km;600 m;150 m;6;;
Vilnius;Naujamiestis;Smolensko g.;"Price increased 1,3%
155 000 € (3 163 €/m²)";10D;;49 m²;2;3;3;1959;Brick;Gas;Fully equipped;;;Terrace;;;240 m;40 m;70 m;120 m;20;;
Vilnius;Lazdynai;Architektų g.;"Price decreased 2,5%
154 900 € (2 312 €/m²)";107;;67,01 m²;4;1;5;1970;Block house;Central;Fully equipped;;New sewage system New electrical installation Kitchen merged with room;Storeroom Balcony Cellar;Furniture Kitchen furniture Stove Dish washer Bath;Steel doors Code door lock;130 m;240 m;160 m;100 m;"73,71 €/month
~ 1,10 €/m²";;
Vilnius;Grigiškės;Vilniaus g.;82 000 € (1 689 €/m²);;;48,54 m²;2;2;9;1988;Brick;Central;Not equipped;;Has elevator Separate bathroom and WC;Balcony;;Steel doors Code door lock;160 m;290 m;130 m;170 m;2;;
Vilnius;Naujininkai;Eišiškių pl.;145 000 € (3 222 €/m²);47;;45 m²;2;5;5;2019;Monolithic;Central thermostat;Fully equipped;;Private yard Internet Cable television Kitchen merged with room;Terrace Parking space;Furniture;Code door lock Video surveillance;2 km;90 m;1,4 km;150 m;2;;
Vilnius;Baltupiai;Didlaukio g.;119 990 € (4 444 €/m²);67A;;27 m²;1;5;5;2021;Brick;Central thermostat;Fully equipped;;Internet High ceiling New sewage system New electrical installation Kitchen merged with room;Balcony;Furniture Washing machine Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Recuperation;Steel doors Code door lock;80 m;200 m;490 m;240 m;"14,58 €/month
~ 0,54 €/m²";;
Vilnius;Šeškinė;Upytės g.;"Price decreased 7,9%
220 000 € (1 488 €/m²)";;;147,83 m²;5;1;2;1960 construction, 1989 renovation;Brick;Gas;Fully equipped;;Private yard Internet Kitchen merged with room;Parking space Terrace;Furniture Conditioner Washing machine Refrigerator Kitchen furniture Dish washer Shower Bath;Steel doors Alarm system Code door lock;450 m;340 m;390 m;250 m;1;;
Vilnius;Antakalnis;Vytauto Žalakevičiaus g.;465 000 € (4 831 €/m²);;;96,26 m²;3;6;8;2014;Brick;Central thermostat;Fully equipped;;;Parking space Terrace;Furniture Washing machine Refrigerator Kitchen furniture Dish washer Shower Bath;Steel doors Code door lock;630 m;580 m;230 m;180 m;3;;
Vilnius;Senamiestis;Klaipėdos g.;620 000 € (5 848 €/m²);;;106,02 m²;3;2;3;2012;Brick;Central thermostat;Fully equipped;;Private yard Internet New sewage system New electrical installation Kitchen merged with room Cable television;Parking space Storeroom;Fireplace Furniture Washing machine Refrigerator Kitchen furniture Stove Dish washer Shower Bath;Steel doors Alarm system Video surveillance Code door lock;200 m;20 m;340 m;90 m;22;;
Vilnius;Antakalnis;Meiriškių g.;268 000 € (2 000 €/m²);25;;134 m²;4;2;2;2024;Brick;Aerothermal;Partially equipped;;;;;;4,8 km;4,8 km;4,9 km;750 m;1;;
Vilnius;Vilkpėdė;Vilkpėdės g.;"Price increased 2,2%
475 000 € (3 006 €/m²)";9;;158 m²;5;6;6;2008;Brick;Central thermostat;Fully equipped;B;Has elevator Two-floor flat Separate bathroom and WC New sewage system New electrical installation Private yard Internet Kitchen merged with room;Storeroom Balcony Terrace Cellar Parking space Closet;Conditioner Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Shower Bath;Steel doors Alarm system Code door lock;540 m;510 m;230 m;210 m;"93,22 €/month
~ 0,59 €/m²";;
Vilnius;Antakalnis;Rukeliškių g.;520 000 € (6 102 €/m²);;;85,22 m²;3;3;3;2015;Brick;Gas;Fully equipped;;High ceiling Private yard Kitchen merged with room;Storeroom Balcony Parking space Closet;Furniture Fireplace Shower Bath Recuperation;Steel doors Alarm system Code door lock;1,6 km;820 m;1,6 km;190 m;0;;
Vilnius;Valakampiai;Rukeliškių g.;520 000 € (6 102 €/m²);46;;85,22 m²;3;3;3;2015;Brick;Gas;Fully equipped;;High ceiling Private yard Kitchen merged with room;Storeroom Balcony Parking space Closet;Furniture Fireplace Shower Bath Recuperation;Steel doors Alarm system Code door lock;1,6 km;820 m;1,6 km;190 m;0;;
Vilnius;Senamiestis;Bokšto g.;94 500 € (4 109 €/m²);18;;23 m²;1;1;3;1940;Brick;Electric;Fully equipped;;Private entrance New electrical installation Private yard Internet;;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Shower Recuperation;Alarm system;440 m;20 m;240 m;190 m;22;;
Vilnius;Senamiestis;J. Basanavičiaus g.;519 000 € (7 627 €/m²);2;;68,05 m²;3;2;3;1940;Brick;Central;Fully equipped;;High ceiling Separate bathroom and WC New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Storeroom Parking space;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Shower Recuperation;Alarm system Code door lock Video surveillance;180 m;220 m;130 m;60 m;30;;
Vilnius;Senamiestis;Pylimo g.;"Price decreased 4,2%
158 000 € (5 852 €/m²)";;;27 m²;2;2;3;1940;Brick;Gas;Fully equipped;;High ceiling;;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Shower;Code door lock;260 m;250 m;110 m;100 m;33;;
Vilnius;Pilaitė;Gilužio g.;149 900 € (2 564 €/m²);4;;58,46 m²;3;5;5;2006;Brick;Central thermostat;Fully equipped;;Flat in an attic Two-floor flat Internet Kitchen merged with room;Balcony Cellar;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Bath;Code door lock;340 m;190 m;140 m;300 m;"43,85 €/month
~ 0,75 €/m²";;
Vilnius;Antakalnis;P. Vileišio g.;"Price decreased 2,5%
133 900 € (2 352 €/m²)";26;;56,92 m²;3;5;5;1963;Brick;Central;Fully equipped;;;Storeroom Balcony;Furniture Refrigerator Kitchen furniture Stove Bath;Code door lock;130 m;430 m;260 m;100 m;13;;
Vilnius;Žirmūnai;Verkių g.;"Price decreased 11,2%
790 000 € (3 979 €/m²)";68D;;198,55 m²;4;4;4;2008;Brick;Central thermostat;Fully equipped;;High ceiling Two-floor flat Separate bathroom and WC Private yard Internet Cable television Kitchen merged with room;Balcony Sauna Parking space Closet;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Fireplace Dish washer Shower;Alarm system Video surveillance Guard;560 m;520 m;600 m;460 m;"180,68 €/month
~ 0,91 €/m²";;
Vilnius;Žirmūnai;Verkių g.;40 000 € (1 904 €/m²);43;;21,01 m²;1;6;12;1979;Brick;Central;Fully equipped;;;Balcony;Washing machine Furniture Shower;Steel doors Code door lock;200 m;400 m;50 m;40 m;"30,25 €/month
~ 1,44 €/m²";;
Vilnius;Žvėrynas;Žalioji g.;407 000 € (5 500 €/m²);17A;;74 m²;3;2;3;2024;Brick;Gas;Partially equipped;;Has elevator High ceiling Private yard;Terrace Parking space;Conditioner Fireplace Recuperation;Code door lock Video surveillance;300 m;140 m;280 m;190 m;2;;
Vilnius;Justiniškės;Justiniškių g.;162 000 € (2 003 €/m²);117;;80,88 m²;4;9;9;1984;Block house;Central;Fully equipped;;Separate bathroom and WC New sewage system New electrical installation Internet Cable television;Storeroom Balcony Cellar Closet;Washing machine Furniture Refrigerator Kitchen furniture Dish washer Bath;Steel doors Code door lock;250 m;280 m;400 m;60 m;8;;
Vilnius;Justiniškės;Taikos g.;"Price decreased 2%
96 000 € (1 920 €/m²)";11;;50 m²;2;4;5;1987;Block house;Central;Fully equipped;;;;;;220 m;100 m;160 m;160 m;"64,00 €/month
~ 1,28 €/m²";;
Vilnius;Lazdynėliai;Bukčių g.;325 000 € (2 372 €/m²);9;;137 m²;4;5;5;1996;Brick;Central;Fully equipped;;;;;;440 m;930 m;200 m;40 m;"109,60 €/month
~ 0,80 €/m²";;
Vilnius;Senamiestis;Pylimo g.;169 000 € (5 281 €/m²);;;32 m²;2;1;3;2015;Brick;Central thermostat;Fully equipped;;New electrical installation Private yard;;Refrigerator Stove Shower;Steel doors Code door lock;170 m;270 m;20 m;40 m;26;;
Vilnius;Pilaitė;Pilkalnio g.;169 900 € (3 267 €/m²);41;;52 m²;3;4;4;2019;Brick;Other;Fully equipped;;New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Balcony Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Bath;Code door lock;800 m;790 m;220 m;320 m;0;;
Vilnius;Markučiai;Subačiaus g.;233 000 € (4 819 €/m²);83;;48,35 m²;2;1;2;1987 construction, 2018 renovation;Brick;Central;Fully equipped;;Private entrance Private yard Internet Cable television Kitchen merged with room;;Washing machine Furniture Refrigerator Kitchen furniture Stove Shower;;460 m;250 m;480 m;140 m;4;;
Vilnius;Šnipiškės;Konstitucijos pr.;1 800 000 € (5 769 €/m²);9;;312 m²;4;25;27;2022;Brick;Central thermostat;Fully equipped;;Private entrance New electrical installation Kitchen merged with room;Terrace Parking space Closet;Conditioner Refrigerator Floor heating system Kitchen furniture Stove Fireplace Dish washer Shower Bath Recuperation;Steel doors Alarm system Code door lock Video surveillance Guard;300 m;100 m;100 m;130 m;"336,96 €/month
~ 1,08 €/m²";;
Vilnius;Senamiestis;Aguonų g.;415 965 € (5 500 €/m²);;;75,63 m²;2;3;4;2024;Brick;Central thermostat;Partially equipped;;Has elevator New sewage system New electrical installation;;;Code door lock;340 m;100 m;240 m;210 m;40;;
Vilnius;Justiniškės;Rygos g.;"Price increased 2,3%
135 000 € (2 500 €/m²)";54;;54 m²;2;2;9;2024;Brick;Central thermostat;Fully equipped;;;;;;180 m;360 m;110 m;210 m;9;;
Vilnius;Naujamiestis;M. Valančiaus g.;397 000 € (6 302 €/m²);;;63 m²;3;2;6;2009;Brick;Central thermostat;Fully equipped;;Private yard Internet;Parking space;Furniture Conditioner Washing machine Refrigerator Kitchen furniture Stove Dish washer Bath;Steel doors Guard Video surveillance Code door lock;100 m;360 m;530 m;260 m;8;;
Vilnius;Senamiestis;Sodų g.;230 000 € (2 170 €/m²);11;;106 m²;4;3;3;1940;Brick;Gas, solid fuel;Fully equipped;;High ceiling Private yard;Storeroom Cellar Parking space;;;110 m;150 m;100 m;150 m;50;;
Vilnius;Šeškinė;Šeškinės g.;"Price decreased 2,9%
169 990 € (2 703 €/m²)";4;;62,88 m²;2;4;16;2005;Monolithic;Central thermostat;Fully equipped;;Has elevator Separate bathroom and WC Private yard Internet Cable television;Balcony Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Bath;Code door lock;300 m;130 m;340 m;60 m;"52,82 €/month
~ 0,84 €/m²";;
Vilnius;Senamiestis;Aguonų g.;419 282 € (5 800 €/m²);;;72,29 m²;2;1;4;2024;Brick;Central thermostat;Partially equipped;;Has elevator High ceiling New sewage system New electrical installation;;Recuperation;Code door lock;310 m;80 m;290 m;270 m;34;;
Vilnius;Antakalnis;Antakalnio g.;79 500 € (2 650 €/m²);;;30 m²;1;5;5;1985;Block house;Central;Fully equipped;;;;;;240 m;170 m;120 m;50 m;5;;
Vilnius;Paupys;Paupio g.;"Price decreased 2,8%
658 000 € (7 000 €/m²)";50;;94 m²;4;4;4;2021;Brick;Central thermostat;Fully equipped;;High ceiling Two-floor flat New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Storeroom Balcony Parking space Closet;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Bath Recuperation;Steel doors Code door lock Video surveillance;500 m;410 m;210 m;100 m;"61,10 €/month
~ 0,65 €/m²";;
Vilnius;Pašilaičiai;Ukmergės g.;148 000 € (1 897 €/m²);298;;78 m²;3;5;6;2003;Brick;Gas;Fully equipped;;;;;;290 m;210 m;20 m;160 m;8;;
Vilnius;Justiniškės;Rygos g.;170 000 € (2 764 €/m²);52;;61,5 m²;3;8;9;2023;Brick;Central thermostat;Fully equipped;;;;;;110 m;340 m;60 m;140 m;"35,67 €/month
~ 0,58 €/m²";;
Vilnius;Šnipiškės;Slucko g.;279 000 € (4 650 €/m²);14;4;60 m²;2;3;3;2023;Brick;Gas;Fully equipped;;High ceiling New sewage system New electrical installation Private yard Internet Kitchen merged with room;Storeroom Terrace Parking space;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Recuperation;Steel doors;110 m;390 m;330 m;150 m;23;;
Vilnius;Pilaitė;Karaliaučiaus g.;115 000 € (1 637 €/m²);;;70,24 m²;3;1;9;1994;Block house;Central;Fully equipped;;Internet;Storeroom Balcony Cellar;Furniture Bath;;210 m;360 m;140 m;150 m;"72,35 €/month
~ 1,03 €/m²";;
Vilnius;Naujamiestis;Gerosios Vilties g.;"Price decreased 10,9%
49 000 € (2 837 €/m²)";1;;17,27 m²;1;3;5;1961;Brick;Central;Fully equipped;;;;;;300 m;280 m;160 m;150 m;17;;
Vilnius;Pilaitė;Tvankstos g.;125 000 € (3 906 €/m²);;;32 m²;2;4;6;2019;Brick;Central thermostat;Fully equipped;A++;New sewage system New electrical installation Private yard Internet Kitchen merged with room;Balcony;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Shower Recuperation;Steel doors Code door lock Video surveillance;210 m;460 m;220 m;190 m;"11,20 €/month
~ 0,35 €/m²";;
Vilnius;Senamiestis;Aguonų g.;364 000 € (7 000 €/m²);;;52 m²;2;5;6;2019;Brick;Central thermostat;Fully equipped;;High ceiling Private yard Internet;Balcony Terrace;Washing machine Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Recuperation;Steel doors Code door lock;230 m;70 m;190 m;230 m;31;;
Vilnius;Burbiškės;Eišiškių pl.;128 000 € (2 844 €/m²);47;;45 m²;2;3;5;2018;Brick;Central thermostat;Fully equipped;;;;;;2 km;90 m;1,4 km;150 m;2;;
Vilnius;Fabijoniškės;Gedvydžių g.;149 000 € (1 889 €/m²);25;;78,86 m²;3;3;5;1995;Brick;Central;Fully equipped;;Internet;Balcony Cellar Parking space;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Bath;Code door lock;120 m;200 m;110 m;140 m;4;;
Vilnius;Antakalnis;Saulėtekio al.;"Price decreased 2,3%
214 000 € (3 125 €/m²)";;;68,48 m²;2;3;3;2008;Brick;Gas;Fully equipped;;;Parking space Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Bath;Steel doors;1,6 km;690 m;410 m;530 m;2;;
Vilnius;Naujamiestis;Kedrų g.;60 900 € (4 289 €/m²);6;;14,2 m²;1;1;5;1987;Brick;Central;Fully equipped;;Internet Cable television Kitchen merged with room;Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Shower;Steel doors Code door lock;310 m;210 m;80 m;220 m;"15,19 €/month
~ 1,07 €/m²";;
Vilnius;Naujamiestis;T. Ševčenkos g.;141 000 € (3 999 €/m²);;;35,26 m²;1;2;4;1970 construction, 2023 renovation;Brick;Aerothermal;Fully equipped;;;;Furniture Washing machine Refrigerator Kitchen furniture Stove Dish washer Shower;Steel doors Code door lock;250 m;70 m;250 m;120 m;13;;
Vilnius;Pilaitė;Vorupės g.;175 000 € (1 944 €/m²);39;;90 m²;4;1;2;2023;Brick;Aerothermal, gas;Partially equipped;;Private entrance High ceiling Two-floor flat Private yard Kitchen merged with room;Storeroom Terrace Parking space Closet;Floor heating system;Steel doors;2 km;2,2 km;880 m;840 m;2;;
Vilnius;Senamiestis;Pylimo g.;315 000 € (4 615 €/m²);11;;68,26 m²;3;2;3;1940 construction, 2018 renovation;Brick;Central;Fully equipped;;Private yard Internet Private entrance High ceiling New electrical installation Kitchen merged with room Cable television;Balcony Parking space Terrace;Furniture Washing machine Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;180 m;180 m;190 m;80 m;30;;
Vilnius;Šnipiškės;Krokuvos g.;"299 000 € (2 960 €/m²)
(interested in changing)";2;;101 m²;3;3;3;1959 construction, 2024 renovation;Brick;Central thermostat;Partially equipped;B;High ceiling Separate bathroom and WC New sewage system New electrical installation Private yard Internet Cable television;Storeroom Balcony Cellar;;Steel doors Code door lock;70 m;360 m;300 m;160 m;"123,22 €/month
~ 1,22 €/m²";;
Vilnius;Užupis;Krivių g.;270 000 € (4 018 €/m²);;;67,19 m²;2;1;3;2007;Brick;Central thermostat;Fully equipped;;;;;;220 m;140 m;390 m;90 m;"43,00 €/month
~ 0,64 €/m²";;
Vilnius;Justiniškės;Taikos g.;"Price decreased 6,1%
108 000 € (1 622 €/m²)";223;;66,58 m²;3;9;9;1985;Brick;Central;Partially equipped;;Has elevator Separate bathroom and WC;Storeroom Balcony Parking space Closet;Washing machine Refrigerator Kitchen furniture Stove Shower;Code door lock;230 m;120 m;200 m;260 m;"65,91 €/month
~ 0,99 €/m²";;
Vilnius;Santariškės;Santariškių g.;211 900 € (3 325 €/m²);39E;;63,72 m²;3;2;3;2006;Brick;Central thermostat;Fully equipped;;Private yard Internet Cable television Kitchen merged with room;Balcony Parking space Closet;Washing machine Refrigerator Floor heating system Kitchen furniture Stove Shower;Code door lock;200 m;1,9 km;240 m;290 m;2;;
Vilnius;Naujamiestis;Smolensko g.;"Price decreased 2,2%
448 900 € (4 258 €/m²)";10D;;105,42 m²;4;4;4;1959 construction, 2012 renovation;Brick;Gas;Fully equipped;;High ceiling Two-floor flat Internet Cable television Kitchen merged with room;Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Fireplace Dish washer Shower Bath;Code door lock;240 m;40 m;70 m;120 m;20;;
Vilnius;Žvėrynas;Paribio g.;"Price decreased 2,9%
169 900 € (2 659 €/m²)";30;;63,9 m²;3;5;5;1970;Brick;Central;Fully equipped;;Cable television;Balcony;;Code door lock;70 m;330 m;240 m;110 m;"80,51 €/month
~ 1,26 €/m²";;
Vilnius;Senamiestis;Pylimo g.;369 900 € (4 992 €/m²);60;;74,1 m²;3;3;3;1940;Brick;Gas;Fully equipped;;High ceiling Two-floor flat New sewage system New electrical installation Private yard;Parking space;Washing machine Refrigerator Floor heating system Stove Dish washer;Code door lock;280 m;200 m;170 m;180 m;39;;
Vilnius;Paupys;Aukštaičių g.;"Price decreased 3,4%
309 000 € (6 165 €/m²)";4A;;50,12 m²;2;3;4;2019;Brick;Central thermostat;Fully equipped;;Private yard Kitchen merged with room;Storeroom Balcony;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower;;210 m;290 m;260 m;60 m;7;;
Vilnius;Naujamiestis;P. Skorinos g.;629 000 € (2 982 €/m²);3;;210,92 m²;8;2;3;1940;Brick;Central;Fully equipped;;High ceiling Separate bathroom and WC;Balcony Cellar Parking space;;;310 m;110 m;110 m;190 m;19;;
Vilnius;Naujamiestis;Naugarduko g.;199 990 € (3 998 €/m²);41B;;50,02 m²;2;3;4;1980 construction, 2023 renovation;Brick;Aerothermal;Partially equipped;;High ceiling Two-floor flat New sewage system New electrical installation;Storeroom;Conditioner Floor heating system Recuperation;Code door lock;180 m;360 m;270 m;100 m;14;;
Vilnius;Pašilaičiai;Sviliškių g.;154 000 € (3 240 €/m²);16;;47,53 m²;2;5;5;2021;Brick;Central;Fully equipped;;;Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Fireplace Dish washer Recuperation;Steel doors Code door lock;430 m;410 m;340 m;320 m;"33,75 €/month
~ 0,71 €/m²";;
Vilnius;Naujininkai;Vyšnių g.;"Price decreased 3,9%
149 000 € (2 247 €/m²)";6;;66,31 m²;3;4;5;1976;Brick;Central;Fully equipped;;;;;;230 m;130 m;340 m;380 m;10;;
Vilnius;Naujamiestis;Mindaugo g.;219 900 € (4 742 €/m²);27;;46,37 m²;2;6;7;2013;Brick;Central;Fully equipped;;Private yard Internet Kitchen merged with room;Storeroom Balcony;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Shower;Code door lock;510 m;390 m;160 m;180 m;"25,04 €/month
~ 0,54 €/m²";;
Vilnius;Naujoji Vilnia;Pramonės g.;54 500 € (3 206 €/m²);49C;;17 m²;1;3;3;2021;Brick;Central, gas;Fully equipped;;;;;;590 m;520 m;450 m;20 m;2;;
Vilnius;Naujamiestis;T. Ševčenkos g.;175 000 € (3 184 €/m²);;;54,97 m²;2;2;4;1970 construction, 2023 renovation;Brick;Aerothermal;Partially equipped;;;;;Steel doors Code door lock;190 m;150 m;310 m;200 m;17;;
Vilnius;Naujininkai;Kapsų g.;69 000 € (2 649 €/m²);;;26,05 m²;2;4;5;1977;Brick;Central;Fully equipped;;;;Bath;Steel doors Code door lock;220 m;220 m;110 m;290 m;"33,34 €/month
~ 1,28 €/m²";;
Vilnius;Fabijoniškės;Vėtrungių g.;137 000 € (2 054 €/m²);89;;66,7 m²;2;9;12;2004;Brick;Central thermostat;Fully equipped;;New sewage system New electrical installation Internet Kitchen merged with room;Balcony;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Bath;Steel doors Code door lock;780 m;580 m;340 m;260 m;10;;
Vilnius;Lazdynai;Architektų g.;"Price decreased 0,9%
109 000 € (1 715 €/m²)";182;;63,55 m²;4;8;10;1971;Block house;Central;Fully equipped;;Separate bathroom and WC;Balcony Cellar;Washing machine Stove Bath;;120 m;250 m;420 m;380 m;"71,18 €/month
~ 1,12 €/m²";;
Vilnius;Pilaitė;Padekaniškių g.;"Price increased 4,5%
230 000 € (3 594 €/m²)";;;64 m²;3;2;3;2023;Brick;Gas;Fully equipped;A+;New electrical installation Kitchen merged with room;Storeroom Balcony Parking space;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Bath Recuperation;Steel doors Code door lock;900 m;860 m;360 m;430 m;0;;
Vilnius;Žvėrynas;Sėlių g.;264 000 € (3 692 €/m²);39;;71,5 m²;4;4;5;1970;Brick;Central;Fully equipped;;Separate bathroom and WC;Balcony;Furniture Bath;Steel doors Code door lock;140 m;190 m;120 m;40 m;"79,37 €/month
~ 1,11 €/m²";;
Vilnius;Fabijoniškės;S. Stanevičiaus g.;"Price decreased 2,8%
120 500 € (1 783 €/m²)";12;;67,59 m²;3;4;5;1988;Block house;Central;Fully equipped;;;;;;250 m;370 m;250 m;160 m;9;;
Vilnius;Antakalnis;P. Vileišio g.;153 000 € (3 433 €/m²);;;44,57 m²;2;4;5;1963;Block house;Central;Fully equipped;;Internet Cable television;Balcony Cellar;Plastic pipes Bath;Steel doors Code door lock;240 m;380 m;130 m;270 m;12;;
Vilnius;Pilaitė;Bitėnų g.;238 000 € (3 799 €/m²);1B;;62,64 m²;3;1;5;2021;Block house;Central thermostat;Fully equipped;A+;Internet High ceiling New electrical installation Kitchen merged with room;Terrace;Furniture Conditioner Washing machine Floor heating system Kitchen furniture Stove Dish washer Bath Recuperation;Steel doors Code door lock;180 m;170 m;260 m;160 m;"32,57 €/month
~ 0,52 €/m²";;
Vilnius;Jeruzalė;Kalvarijų g.;164 500 € (1 645 €/m²);;;100 m²;4;2;5;1993;Brick;Central;Fully equipped;C;Internet;Balcony Cellar Closet;Furniture;Steel doors Code door lock;140 m;360 m;640 m;190 m;4;;
